ccode,cnumber,prereqs,
AERO,491,null,
AERO,602,null,
AERO,615,null,
AERO,617,null,
AERO,623,null,
AERO,630,null,
AERO,632,null,
AERO,643,null,
AERO,666,null,
AERO,670, AERO 640 w/Min Grade D,
AERO,681,null,
AERO,681,null,
AERO,685,null,
AERO,689,null,
AERO,689,null,
AERO,689,null,
AERO,691,null,
AERO,691,null,
AERS,102, AERS 101 w/Min Grade D and AERS 106 w/Min Grade D (concurrency),
AERS,106,null,
AERS,202,null,
AERS,304, AERS 303 w/Min Grade C,
AERS,404, AERS 403 w/Min Grade C,
AFST,201,null,
AFST,261,null,
AFST,301,null,
AFST,325,null,
AFST,327,null,
AFST,352,null,
AFST,377,null,
AFST,379, ENGL 203 w/Min Grade D or ENGL 202 w/Min Grade D or ENGL 206 w/Min Grade D or HISP 362 w/Min Grade D or ENGL 212 w/Min Grade D or ENGL 219 w/Min Grade D or ENGL 227 w/Min Grade D or ENGL 228 w/Min Grade D or ENGL 204 w/Min Grade D or AFST 204 w/Min Grade D or ENGL 205 w/Min Grade D or AFST 205 w/Min Grade D or ENGL 221 w/Min Grade D or MODL 221 w/Min Grade D or ENGL 222 w/Min Grade D or MODL 222 w/Min Grade D or ENGL 303 w/Min Grade D or ENGL 312 w/Min Grade D or ENGL 313 w/Min Grade D or ENGL 314 w/Min Grade D or ENGL 315 w/Min Grade D or ENGL 316 w/Min Grade D or ENGL 317 w/Min Grade D or ENGL 321 w/Min Grade D or ENGL 322 w/Min Grade D or ENGL 323 w/Min Grade D or ENGL 330 w/Min Grade D or ENGL 331 w/Min Grade D or ENGL 334 w/Min Grade D or ENGL 335 w/Min Grade D or ENGL 336 w/Min Grade D or ENGL 337 w/Min Grade D or ENGL 338 w/Min Grade D or ENGL 340 w/Min Grade D or ENGL 350 w/Min Grade D or ENGL 352 w/Min Grade D or ENGL 357 w/Min Grade D or ENGL 360 w/Min Grade D or ENGL 361 w/Min Grade D or ENGL 372 w/Min Grade D or ENGL 373 w/Min Grade D or ENGL 375 w/Min Grade D or ENGL 376 w/Min Grade D or ENGL 377 w/Min Grade D or ENGL 378 w/Min Grade D or ENGL 390 w/Min Grade D or ENGL 394 w/Min Grade D or ENGL 396 w/Min Grade D or ENGL 356 w/Min Grade D or FILM 356 w/Min Grade D or ENGL 365 w/Min Grade D or RELS 360 w/Min Grade D or ENGL 329 w/Min Grade D or AFST 329 w/Min Grade D or ENGL 392 w/Min Grade D or RELS 392 w/Min Grade D or ENGL 339 w/Min Grade D or AFST 339 w/Min Grade D or ENGL 393 w/Min Grade D or AFST 393 w/Min Grade D or ENGL 333 w/Min Grade D or WGST 333 w/Min Grade D or ENGL 374 w/Min Grade D or WGST 374 w/Min Grade D or ENGL 362 w/Min Grade D or ENGL 305 w/Min Grade D or ENGL 231 w/Min Grade D or ENGL 232 w/Min Grade D or ENGL 391 w/Min Grade D or ENGL 306 w/Min Grade D or ENGL 292 w/Min Grade D or ENGL 343 w/Min Grade D or ENGL 395 w/Min Grade D,
AFST,601,null,
AGCJ,105,null,
AGCJ,281, AGCJ 105 w/Min Grade C (concurrency),
AGCJ,301, AGCJ 105 w/Min Grade C and AGCJ 281 w/Min Grade C,
AGCJ,306, AGCJ 105 w/Min Grade C (concurrency),
AGCJ,307,null,
AGCJ,311, AGCJ 105 w/Min Grade C and AGCJ 281 w/Min Grade C,
AGCJ,312, AGCJ 105 w/Min Grade C,
AGCJ,313, AGCJ 105 w/Min Grade C and AGCJ 312 w/Min Grade C,
AGCJ,314, AGCJ 312 w/Min Grade C and AGCJ 313 w/Min Grade C,
AGCJ,404, AGCJ 313 w/Min Grade C,
AGCJ,405, AGCJ 312 w/Min Grade C and AGCJ 313 w/Min Grade C,
AGCJ,408, AGCJ 313 w/Min Grade C,
AGCJ,481, AGCJ 314 w/Min Grade C,
AGCJ,494,null,
AGCJ,494,null,
AGEC,105,null,
AGEC,117, AGEC 105 w/Min Grade D or ECON 202 w/Min Grade C or ECON 203 w/Min Grade D and ( ENGL 103 w/Min Grade D or ENGL 104 w/Min Grade D ),
AGEC,216,null,
AGEC,217, AGEC 105 w/Min Grade C and AGEC 117 w/Min Grade C (concurrency) and ( MATH 141 w/Min Grade C or MATH 168 w/Min Grade C or MATH 140 w/Min Grade C ) and MATH 142 w/Min Grade C,
AGEC,223,null,
AGEC,223,null,
AGEC,285, AGEC 105 w/Min Grade D (concurrency),
AGEC,314, AGEC 105 w/Min Grade D or ECON 202 w/Min Grade D or ECON 203 w/Min Grade D,
AGEC,315,null,
AGEC,316, AGEC 315 w/Min Grade C,
AGEC,317, AGEC 217 w/Min Grade D and ECON 323 w/Min Grade D and ( BUSN 203 w/Min Grade D or SCMT 303 w/Min Grade D or STAT 301 w/Min Grade D or STAT 302 w/Min Grade D or STAT 303 w/Min Grade D ),
AGEC,317, AGEC 217 w/Min Grade D and ECON 323 w/Min Grade D and ( BUSN 203 w/Min Grade D or SCMT 303 w/Min Grade D or STAT 301 w/Min Grade D or STAT 302 w/Min Grade D or STAT 303 w/Min Grade D ),
AGEC,324, ( AGEC 105 w/Min Grade C or ECON 202 w/Min Grade C ) and ( ACCT 229 w/Min Grade C or ACCT 209 w/Min Grade C ),
AGEC,324, ( AGEC 105 w/Min Grade C or ECON 202 w/Min Grade C ) and ( ACCT 229 w/Min Grade C or ACCT 209 w/Min Grade C ),
AGEC,324, ( AGEC 105 w/Min Grade C or ECON 202 w/Min Grade C ) and ( ACCT 229 w/Min Grade C or ACCT 209 w/Min Grade C ),
AGEC,325, ( AGEC 105 w/Min Grade D or ECON 202 w/Min Grade D ),
AGEC,330, ( AGEC 105 w/Min Grade D or ECON 202 w/Min Grade D or ECON 203 w/Min Grade D ) and ( ACCT 209 w/Min Grade D or ACCT 229 w/Min Grade D ),
AGEC,340, ( AGEC 105 w/Min Grade D or ECON 202 w/Min Grade D or ECON 203 w/Min Grade D ),
AGEC,340, ( AGEC 105 w/Min Grade D or ECON 202 w/Min Grade D or ECON 203 w/Min Grade D ),
AGEC,344,null,
AGEC,350,null,
AGEC,350,null,
AGEC,414, AGEC 317 w/Min Grade D and MKTG 321 w/Min Grade D,
AGEC,415, ( AGEC 314 w/Min Grade D or MKTG 321 w/Min Grade D or MKTG 409 w/Min Grade D ) and ( AGEC 315 w/Min Grade D ),
AGEC,416, AGEC 315 w/Min Grade C,
AGEC,420, AGEC 105 w/Min Grade D or ECON 202 w/Min Grade D,
AGEC,422, ( AGEC 105 w/Min Grade D or ECON 202 w/Min Grade D (concurrency) or ECON 203 w/Min Grade D ),
AGEC,423,null,
AGEC,425, AGEC 424 w/Min Grade D,
AGEC,429, AGEC 105 w/Min Grade D and ( ECON 202 w/Min Grade D or ECON 203 w/Min Grade D ) and ( ENGL 103 w/Min Grade D or ENGL 104 w/Min Grade D ),
AGEC,429, AGEC 105 w/Min Grade D and ( ECON 202 w/Min Grade D or ECON 203 w/Min Grade D ) and ( ENGL 103 w/Min Grade D or ENGL 104 w/Min Grade D ),
AGEC,430, (   ( AGEC 105 w/Min Grade D or ECON 202 w/Min Grade D or ECON 203 w/Min Grade D ) and ( AGEC 330 w/Min Grade D or FINC 341 w/Min Grade D or FINC 409 w/Min Grade D ) and AGEC 317 w/Min Grade D (concurrency) and AGEC 429 w/Min Grade D   ),
