course_ccode,course_cnumber,prereq_ccode,prereq_cnumber,equi_id
AGCJ,404,AGCJ,313,1,
AGCJ,405,AGCJ,312,1,
AGCJ,405,AGCJ,313,2,
AGCJ,408,AGCJ,313,1,
AGCJ,481,AGCJ,314,1,
AGEC,117,AGEC,105,1,
AGEC,117,ECON,202,1,
AGEC,117,ECON,203,1,
AGEC,117,ENGL,103,2,
AGEC,117,ENGL,104,2,
AGEC,217,AGEC,105,1,
AGEC,217,AGEC,117,2,
AGEC,217,MATH,141,3,
AGEC,217,MATH,168,3,
AGEC,217,MATH,140,3,
AGEC,217,MATH,142,4,
AGEC,285,AGEC,105,1,
AGEC,314,AGEC,105,1,
AGEC,314,ECON,202,1,
AGEC,314,ECON,203,1,
AGEC,316,AGEC,315,1,
AGEC,317,AGEC,217,1,
AGEC,317,ECON,323,2,
AGEC,317,BUSN,203,3,
AGEC,317,SCMT,303,3,
AGEC,317,STAT,301,3,
AGEC,317,STAT,302,3,
AGEC,317,STAT,303,3,
AGEC,324,AGEC,105,1,
AGEC,324,ECON,202,1,
AGEC,324,ACCT,229,2,
AGEC,324,ACCT,209,2,
AGEC,325,AGEC,105,1,
AGEC,325,ECON,202,1,
AGEC,330,AGEC,105,1,
AGEC,330,ECON,202,1,
AGEC,330,ECON,203,1,
AGEC,330,ACCT,209,2,
AGEC,330,ACCT,229,2,
AGEC,340,AGEC,105,1,
AGEC,340,ECON,202,1,
AGEC,340,ECON,203,1,
AGEC,414,AGEC,317,1,
AGEC,414,MKTG,321,2,
AGEC,415,AGEC,314,1,
AGEC,415,MKTG,321,1,
AGEC,415,MKTG,409,1,
AGEC,415,AGEC,315,2,
AGEC,416,AGEC,315,1,
AGEC,420,AGEC,105,1,
AGEC,420,ECON,202,1,
AGEC,422,AGEC,105,1,
AGEC,422,ECON,202,1,
AGEC,422,ECON,203,1,
AGEC,425,AGEC,424,1,
AGEC,429,AGEC,105,1,
AGEC,429,ECON,202,2,
AGEC,429,ECON,203,2,
AGEC,429,ENGL,103,3,
AGEC,429,ENGL,104,3,
AGEC,430,AGEC,105,1,
AGEC,430,ECON,202,1,
AGEC,430,ECON,203,1,
AGEC,430,AGEC,330,2,
AGEC,430,FINC,341,2,
AGEC,430,FINC,409,2,
AGEC,430,AGEC,317,3,
AGEC,430,AGEC,429,4,
AGEC,431,AGEC,317,1,
AGEC,431,AGEC,340,2,
AGEC,431,FINC,341,3,
AGEC,432,AGEC,317,1,
AGEC,432,AGEC,330,2,
AGEC,432,FINC,341,2,
AGEC,432,FINC,409,2,
AGEC,432,AGEC,422,3,
AGEC,434,ACCT,209,1,
AGEC,434,ACCT,229,1,
AGEC,434,ACCT,210,2,
AGEC,434,ACCT,230,2,
AGEC,434,AGEC,330,3,
AGEC,434,FINC,341,3,
AGEC,434,FINC,409,3,
AGEC,440,AGEC,317,1,
AGEC,440,AGEC,340,2,
AGEC,440,MGMT,363,3,
AGEC,447,AGEC,314,1,
AGEC,447,AGEC,317,2,
AGEC,448,AGEC,105,1,
AGEC,448,AGEC,317,2,
AGEC,448,AGEC,314,3,
AGEC,481,AGEC,217,1,
AGEC,495,AGEC,105,1,
AGEC,642,ECON,629,1,
AGEC,689,AGEC,429,1,
AGEC,689,AGEC,614,1,
AGLS,492,AGLS,392,1,
AGSC,373,AGSC,302,1,
AGSC,383,AGSC,302,1,
AGSC,425,AGSC,402,1,
AGSC,425,AGSC,405,2,
AGSC,425,AGSC,436,3,
AGSC,425,AGSC,481,4,
AGSC,425,AGSC,484,5,
AGSC,436,AGSC,402,1,
AGSC,436,AGSC,405,2,
AGSC,436,AGSC,425,3,
AGSC,436,AGSC,481,4,
AGSC,436,AGSC,484,5,
AGSC,484,AGSC,402,1,
AGSC,484,AGSC,405,2,
AGSC,484,AGSC,425,3,
AGSC,484,AGSC,436,4,
AGSC,484,AGSC,481,5,
AGSM,301,MATH,140,1,
AGSM,301,MATH,141,1,
AGSM,301,MATH,168,1,
AGSM,301,MATH,142,2,
AGSM,301,MATH,151,2,
AGSM,310,AGSM,201,1,
AGSM,310,AGSM,301,2,
AGSM,310,PHYS,201,3,
AGSM,310,PHYS,206,3,
AGSM,315,PHYS,201,1,
AGSM,315,PHYS,206,1,
AGSM,325,AGSM,201,1,
AGSM,337,MATH,140,1,
AGSM,337,MATH,141,1,
AGSM,337,MATH,168,1,
AGSM,337,MATH,142,2,
AGSM,337,MATH,151,2,
AGSM,337,MATH,152,3,
AGSM,337,AGSM,301,3,
AGSM,440,AGSM,439,1,
AGSM,440,COMM,203,2,
ALEC,473,ALEC,370,1,
ALED,301,ALED,202,1,
ALED,341,ALED,340,1,
ALED,344,ALED,340,1,
ALED,401,ALED,340,1,
ALED,401,ALED,301,1,
ALED,419,ALED,340,1,
ALED,426,ALED,340,1,
ALED,440,ALED,202,1,
ALED,494,ALED,301,1,
ANSC,108,ANSC,107,1,
ANSC,111,ANSC,101,1,
ANSC,111,ANSC,107,2,
ANSC,111,ANSC,108,3,
ANSC,113,ANSC,107,1,
ANSC,113,ANSC,108,2,
ANSC,205,ANSC,107,1,
ANSC,205,ANSC,108,2,
ANSC,205,ANSC,111,3,
ANSC,221,ANSC,201,1,
ANSC,303,ANSC,113,1,
ANSC,303,CHEM,101,2,
ANSC,303,CHEM,119,2,
ANSC,303,CHEM,222,2,
ANSC,303,CHEM,227,2,
ANSC,303,CHEM,257,2,
ANSC,305,ANSC,111,1,
ANSC,305,ANSC,113,2,
ANSC,305,GENE,301,3,
ANSC,305,STAT,301,4,
ANSC,305,STAT,302,4,
ANSC,305,STAT,303,4,
ANSC,305,ANSC,309,4,
ANSC,307,ANSC,113,1,
ANSC,318,ANSC,111,1,
ANSC,318,ANSC,113,2,
ANSC,318,ANSC,303,3,
ANSC,333,ANSC,113,1,
ANSC,333,ANSC,303,1,
ANSC,334,ANSC,333,1,
ANSC,404,ANSC,305,1,
ANSC,404,ANSC,307,2,
ANSC,404,ANSC,318,3,
ANSC,404,ANSC,333,4,
ANSC,404,ANSC,433,4,
ANSC,406,ANSC,305,1,
ANSC,406,ANSC,307,2,
ANSC,406,ANSC,318,3,
ANSC,406,ANSC,333,4,
ANSC,406,ANSC,433,4,
ANSC,408,ANSC,305,1,
ANSC,408,ANSC,307,2,
ANSC,408,ANSC,318,3,
ANSC,408,ANSC,333,4,
ANSC,408,ANSC,433,4,
ANSC,408,STAT,301,5,
ANSC,408,STAT,302,5,
ANSC,408,STAT,303,5,
ANSC,408,ANSC,309,5,
ANSC,412,ANSC,305,1,
ANSC,412,ANSC,307,2,
ANSC,412,ANSC,318,3,
ANSC,412,ANSC,333,4,
ANSC,414,ANSC,305,1,
ANSC,414,ANSC,307,2,
ANSC,414,ANSC,318,3,
ANSC,414,ANSC,333,4,
ANSC,414,ANSC,433,4,
ANSC,420,ANSC,305,1,
